apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +155,Series Updated Successfully,Serie erfolgreich aktualisiert
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +187,Please set Naming Series for {0} via Setup > Settings > Naming Series,Bitte die Serienbezeichnung für {0} über Setup > Einstellungen > Serien benamen eingeben
apps/erpnext/erpnext/utilities/transaction_base.py +121,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}),Zeile #{0}: Ansatz muss der selber sein wie auf de {1}: {2} ({3} / {4})
DocType: Naming Series,Series List for this Transaction,Serienliste für diese Transaktion
DocType: Naming Series,Change the starting / current sequence number of an existing series.,Startnummer/aktuelle laufende Nummer einer bestehenden Serie ändern.
DocType: Naming Series,Update Series,Serie aktualisieren
DocType: Naming Series,Update Series Number,Seriennummer aktualisieren
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py +54,{0} already allocated for Employee {1} for period {2} to {3},{0} bereits an Mitarbeiter {1} zugeteilt für die Periode {2} bis {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +146,"Serialized Item {0} cannot be updated using Stock Reconciliation",Serienartikel {0} kann nicht über einen Lagerabgleich aktualisiert werden
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html +7,Get Updates,Newsletter abonnieren
apps/erpnext/erpnext/templates/form_grid/stock_entry_grid.html +21,Not in Stock, nicht vorrätig
DocType: Journal Entry Account,Party,Lieferant
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js +736,Please enter Item Code.,Bitte die Artikelnummer eingeben
DocType: Account,Company,Firma
DocType: Account,Accounts Manager,Kontenmanager
DocType: Account,Account number,Kontonummer
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +47,Furniture and Fixture,Möbel und Anbauteile
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +44,Computers,Rechner
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +53,Plant and Machinery,Anlagen und Maschinen
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +117,Print and Stationary,Druck- und Schreibwaren
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +159,Current Liabilities,Kurzfristige Verbindlichkeiten
DocType: Purchase Invoice,Supplier Invoice No,"Referenz- / Rechnungs- / Belegnummer"
DocType: Purchase Invoice,Additional Discount Percentage,Zusätzlicher Rabatt in Prozent
DocType: Purchase Invoice,Currency and Price List,Währungs- und Preisliste
DocType: Purchase Invoice,Mobile No,Mobilfunknummer
DocType: Purchase Invoice,Title,Titel
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js +581,Make Sales Order,Auftragsbestätigung erstellen
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js +853,Sales Return,Umsatzrendite
apps/erpnext/erpnext/config/crm.py +12,Database of potential customers.,Datenbank von potentiellen Kunden
apps/erpnext/erpnext/config/crm.py +17,Potential opportunities for selling.,Mögliche Verkaufschancen für den Vertrieb
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.py +88,Please setup numbering series for Attendance via Setup > Numbering Series,Bitte Seriennummerierung für Anwesenheiten über Setup > Seriennummerierung einstellen
DocType: Buying Settings,Settings for Buying Module,Einstellungen für Einkaufsmodul
DocType: Serial No,Warranty Expiry Date,Garantieablaufdatum
DocType: Serial No,Creation Date,Erstellungsdatum
DocType: Serial No,Creation Time,Zeitpunkt der Fertigung
DocType: Opportunity,Opportunity From,Verkaufschance von
DocType: Opportunity,Opportunity Type,Verkaufschancen-Typ
DocType: Opportunity,Title,Titel
DocType: Opportunity,Opportunity Date,Datum der Verkauschance
DocType: Opportunity,Opportunity,Verkaufschance
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js +27,Send Now,Jetzt senden
DocType: Sales Invoice Item,Stock Details,Lagerinformationen
DocType: POS Profile,Cash/Bank Account,Kassen-/Bankkonto
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +28,Account does not match with Company,Konto passt nicht zu Unternehmen
DocType: Supplier,Communications,Kommunikationswesen
DocType: Supplier,Stock Manager,Leitung Lager
DocType: Global Defaults,Disable Rounded Total,Gerundete Gesamtsumme deaktivieren
DocType: Lead,Call,Anruf
DocType: Lead,Opportunity,Verkaufschance
